epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,887.612,1.28308,0.90249,0.99097,0.96071,0.98294,0.98865,0.67623,1.11659,0.71239,0.91709,0.000840286,0.000840286,0.000840286
43,908.918,1.15241,0.74849,0.97565,0.96464,0.94975,0.98476,0.67586,1.11489,0.72591,0.91331,0.000812,0.000812,0.000812
44,929.518,1.08195,0.74388,0.92604,0.97677,0.9507,0.98727,0.6679,1.12164,0.70622,0.91173,0.000783714,0.000783714,0.000783714
45,950.755,1.28008,0.72757,0.9433,0.97458,0.96327,0.99063,0.64901,1.14916,0.6883,0.91376,0.000755429,0.000755429,0.000755429
46,971.681,1.15489,0.69924,0.91971,0.95667,0.9799,0.9903,0.67258,1.1368,0.66847,0.91093,0.000727143,0.000727143,0.000727143
47,991.644,1.28341,0.82115,1.05888,0.96578,0.94724,0.98607,0.68322,1.07114,0.66931,0.90731,0.000698857,0.000698857,0.000698857
48,1013.43,1.16956,0.72007,0.97536,0.95823,0.9598,0.98747,0.69333,1.05849,0.65018,0.90389,0.000670571,0.000670571,0.000670571
49,1035.26,1.23301,0.7691,0.92669,0.96442,0.98744,0.99141,0.70049,1.04549,0.62145,0.89778,0.000642286,0.000642286,0.000642286
50,1057.03,1.09632,0.64896,0.9097,0.97208,0.99749,0.99185,0.71125,1.03857,0.60645,0.89656,0.000614,0.000614,0.000614
51,1077.71,1.0533,0.74795,0.93374,0.97535,0.99397,0.99119,0.7166,1.02385,0.61263,0.895,0.000585714,0.000585714,0.000585714
52,1100.04,1.06263,0.65807,0.92959,0.97353,0.99246,0.9904,0.70967,1.03598,0.62043,0.90069,0.000557429,0.000557429,0.000557429
53,1120.73,1.09326,0.64709,0.9163,0.98092,0.96734,0.98844,0.7134,1.02083,0.6278,0.89813,0.000529143,0.000529143,0.000529143
54,1141.43,1.05803,0.71184,0.93987,0.9679,0.96734,0.98082,0.71055,1.01424,0.63574,0.89229,0.000500857,0.000500857,0.000500857
55,1162.94,1.04174,0.68166,0.97958,0.96963,0.9598,0.97918,0.70368,1.02822,0.64111,0.89274,0.000472571,0.000472571,0.000472571
56,1184.62,1.02494,0.61027,0.89666,0.98052,0.96985,0.98507,0.71361,1.01255,0.62478,0.88927,0.000444286,0.000444286,0.000444286
57,1206.61,1.01512,0.65506,0.8939,0.98805,0.96985,0.98842,0.72469,1.0053,0.61389,0.8883,0.000416,0.000416,0.000416
58,1228.82,1.0181,0.6173,0.89738,0.98724,0.972,0.98983,0.73349,0.97943,0.60267,0.88311,0.000387714,0.000387714,0.000387714
59,1249.29,1.07129,0.76961,0.90948,0.97456,0.98241,0.99114,0.73399,0.97303,0.6028,0.88061,0.000359429,0.000359429,0.000359429
60,1270.25,1.03898,0.68176,0.94115,0.97088,0.98241,0.99161,0.73281,0.95882,0.59913,0.87755,0.000331143,0.000331143,0.000331143
61,1289.49,1.06682,0.78635,0.93371,0.97665,0.9799,0.9916,0.72928,0.96173,0.60224,0.8773,0.000302857,0.000302857,0.000302857
62,1308.67,1.03912,0.76005,0.91831,0.97485,0.97739,0.99175,0.72588,0.9919,0.60787,0.88265,0.000274571,0.000274571,0.000274571
63,1328.18,1.06462,0.68192,0.95633,0.97264,0.98239,0.992,0.72052,1.00986,0.60597,0.8861,0.000246286,0.000246286,0.000246286
64,1347.3,1.07307,0.73344,0.96041,0.97271,0.98507,0.99203,0.72279,0.99512,0.59844,0.8839,0.000218,0.000218,0.000218
65,1367.41,0.99891,0.64147,0.91243,0.98253,0.98892,0.99274,0.72991,0.9773,0.59271,0.88118,0.000189714,0.000189714,0.000189714
66,1386.33,0.98597,0.6618,0.87652,0.98739,0.98363,0.99309,0.73011,0.96571,0.58818,0.87911,0.000161429,0.000161429,0.000161429
67,1405.05,0.94689,0.73146,0.89862,0.9924,0.98455,0.99321,0.73165,0.95718,0.58714,0.87715,0.000133143,0.000133143,0.000133143
68,1425.03,0.91265,0.65222,0.92139,0.99119,0.98744,0.99314,0.73838,0.94959,0.5787,0.87602,0.000104857,0.000104857,0.000104857
69,1443.82,0.95828,0.75725,0.89606,0.99207,0.98744,0.99311,0.73957,0.94234,0.57585,0.87469,7.65714e-05,7.65714e-05,7.65714e-05
70,1463.85,1.08637,3.04104,0.87372,0.98993,0.98783,0.99294,0.7411,0.93885,0.57229,0.8742,4.82857e-05,4.82857e-05,4.82857e-05
